name,brand,slug,price,gender,category,concentration,scent_notes,intensity,occasion,description,stock_quantity,is_available,image
Scandal,Jean Paul Gaultier,jean-paul-gaultier-scandal-k,200,K,oriental,parfum,"Top: pomarańcza krwawa, cytrusy; Heart: gardenia, białe kwiaty, miód; Base: paczula, nuty drzewne",strong,special,"Scandal to prowokacyjna kompozycja orientalno-kwiatowa stworzona dla kobiet poszukujących intensywnego i zmysłowego zapachu. Otwiera się świeżą nutą pomarańczy krwawej i cytrusów, przechodząc w serce zdominowane przez słodki miód i delikatną gardenię. Głęboka baza paczuli i nut drzewnych nadaje kompozycji trwałość i zmysłowy charakter. Idealny na wieczory i wyjątkowe okazje.",10,True,products/IMG-20260409-WA0078.jpg
Noir Extreme,Tom Ford,tom-ford-noir-extreme-m,200,M,oriental,parfum,"Top: kardamon, gałka muszkatołowa, szafran, mandarynka, neroli; Heart: kulfi, róża, jaśmin, mastix, kwiat pomarańczy; Base: wanilia, ambra, nuty drzewne, drzewo sandałowe",strong,special,"Tom Ford Noir Extreme to intensywny, orientalno-drzewny zapach dla mężczyzn poszukujących zmysłowego i wyrafinowanego aromatu. Otwiera się eksplozją kardamonu i szafranu, przechodząc w serce z unikalną nutą kulfi - indyjskiego deseru o kremowej słodyczy. Baza z wanilii, ambry i drzewa sandałowego tworzy luksusową i trwałą kompozycję. Idealny na wieczory i wyjątkowe okazje, gdy chcesz wywrzeć niezapomniane wrażenie.",10,True,products/IMG-20260409-WA0079.jpg
Neroli Portofino,Tom Ford,tom-ford-neroli-portofino-u,200,U,fresh,parfum,"Top: bergamot, cytryna sycylijska, mandarynka, gorzkiej pomarańczy, lawenda; Heart: neroli, pomarańczy afrykańskiej kwiat, jaśmin; Base: ambra, piżmo",light,daily,"Neroli Portofino to hołd Tom Forda dla Riwiery Włoskiej, który przenosi nas do słonecznych wybrzeży Portofino. Ten świeży i cytrusowy zapach otwiera się intensywną eksplozją bergamotki i cytryny, przechodząc w kwiatowe serce z neroli i jaśminem. Delikatna baza z ambry nadaje kompozycji ciepły i luksusowy charakter. Idealny na ciepłe dni i codzienne noszenie.",10,True,products/IMG-20260409-WA0080.jpg
Le Beau Le Parfum,Jean Paul Gaultier,jean-paul-gaultier-le-beau-le-parfum-m,200,M,oriental,parfum,"Top: ananas, irys, imbir, cyprys; Heart: kokos, nuty drzewne; Base: tonka, drzewo sandałowe, ambra, ambra szara",strong,special,"Le Beau Le Parfum to intensywna orientalno-drzewna kompozycja dla mężczyzn poszukujących uwodzicielskiego zapachu. Otwiera się tropikalnym ananasem i aromatycznym imbirem, przechodząc w serce z soczystym kokosem i głębokimi nutami drzewnymi. Ciepła baza z tonką, drzewem sandałowym i ambrą zapewnia długotrwałość i zmysłowy charakter. Idealny na wieczorowe okazje i romantyczne spotkania.",10,True,products/IMG-20260409-WA0081.jpg
1 Million,Paco Rabanne,paco-rabanne-1-million-m,200,M,woody,edt,"Top: czerwona mandarynka, grejpfrut, mięta; Heart: cynamon, nuty korzenne, róża; Base: ambra, skóra, nuty drzewne, paczula",strong,special,"1 Million to ikoniczny zapach Paco Rabanne stworzony dla mężczyzn pragnących wyrazić swoją uwodzicielską siłę i pewność siebie. Kompozycja otwiera się świeżymi nutami mandarynki i grejpfruta z dodatkiem mięty, przechodząc w serce o ciepłym charakterze cynamonu i kwiatów róży. Głęboka baza ze skóry, paczuli i ambry nadaje zapachowi męski i trwały charakter. Idealny na wieczory i specjalne okazje, kiedy chcesz pozostawić niezapomniane wrażenie.",10,True,products/IMG-20260409-WA0082.jpg
Tilia,Marc-Antoine Barrois,marc-antoine-barrois-tilia-u,200,U,floral,parfum,"Top: kwiat lipy, jaśmin sambac, żarnowiec; Heart: kwiat pomarańczy, heliotrop, wetiwer; Base: ambroksyn, georgywood",strong,daily,"Tilia to słoneczna kompozycja kwiatowa Marc-Antoine Barrois, stworzona przez Quentin Bisch. Zapach przypomina niekończące się lato z miodowymi nutami kwiatów lipy i żarnowca. Serce ujawnia delikatny heliotrop i romantyczny jaśmin, podczas gdy baza z ambroksynu i drzewnych akordów nadaje trwałość. Idealny na co dzień dla osób pragnących optymizmu i radości.",10,True,products/IMG-20260409-WA0083.jpg
Sì,Giorgio Armani,giorgio-armani-si-k,200,K,floral,parfum,"Top: czarna porzeczka; Heart: róża majowa, frezja; Base: wanilia, paczula, drzewne nuty, ambroksjan",strong,special,"Sì to nowoczesny zapach szyprowy Giorgio Armani, który uosabia elegancję i kobiecość. Otwiera się soczysta czarna porzeczka, która łączy się z delikatną różą majową i świeżą frezją w sercu kompozycji. Ciepła baza wanilii, paczuli i drzewnych nut tworzy trwały i zmysłowy finisz. Idealny dla pewnych siebie kobiet na wyjątkowe okazje.",10,True,products/IMG-20260409-WA0084.jpg
My Way,Giorgio Armani,giorgio-armani-my-way-k-1,200,K,floral,parfum,"Top: bergamot, kwiat pomarańczy; Heart: tuberoza, jaśmin; Base: wanilia, białe piżmo, cedr",strong,daily,"My Way to eleganckie połączenie świadomie pozyskanych składników z całego świata. Otwiera się bergamotą i egipskim kwiatem pomarańczy, prowadząc do serca z tuberozą i jaśminem z Indii. Ciepła baza z wanilią z Madagaskaru, białym piżmem i cedrem z Wirginii tworzy długotrwałą i wyrafinowaną kompozycję. Idealny zapach na co dzień dla kobiet ceniących światowe inspiracje.",10,True,products/IMG-20260409-WA0085.jpg
Flora Gorgeous Gardenia,Gucci,gucci-flora-gorgeous-gardenia-k,200,K,floral,parfum,"Top: gruszka, czerwone jagody, mandarynka; Heart: gardenia, jaśmin, frangipani; Base: paczula, brązowy cukier",light,daily,"Flora Gorgeous Gardenia to delikatny kwiatowy zapach stworzony dla kobiet pełnych pozytywnej energii. Otwiera się soczystą gruszką i czerwonymi jagodami, przechodząc w serce z gardenią i jaśminem grandiflorum. Ciepła baza z brązowego cukru i paczuli dodaje słodkiej zmysłowości. Idealny na codzienne noszenie dla miłośniczek świeżych kompozycji kwiatowych.",10,True,products/IMG-20260409-WA0086.jpg
Bad Boy,Carolina Herrera,carolina-herrera-bad-boy-m,200,M,oriental,edt,"Top: czarny pieprz, biały pieprz, bergamota; Heart: cedr, szałwia; Base: tonka, kakao, drewno ambry",strong,special,"Bad Boy to orientalno-korzenna kompozycja stworzona dla pewnych siebie mężczyzn. Otwiera się pikantną mieszanką pieprzu i świeżej bergamoty, przechodząc w serce z aromatycznym cedrem i szałwią. Baza z fasoli tonka i czekoladowego kakao nadaje zapachowi zmysłowy i nieco buntowniczy charakter. Idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0087.jpg
Bloom,Gucci,gucci-bloom-k,200,K,floral,parfum,"Top: jaśmin, pełzacz rangoon; Heart: tuberoza, kwiat pomarańczy; Base: piżmo, drzewo sandałowe",strong,daily,"Gucci Bloom to wyrafinowana kompozycja floralna skoncentrowana wokół białych kwiatów. Otwiera się świeżym jaśminem i unikalnym pełzaczem rangoon, przechodząc w serce z kremową tuberozą i kwiatem pomarańczy. Baza z piżma i drzewa sandałowego zapewnia trwałość i delikatną zmysłowość. Idealny zarówno na co dzień jak i na wieczorne okazje, reprezentuje współczesną kobiecość z nutą klasycznej elegancji.",10,True,products/IMG-20260409-WA0088.jpg
Luna Rossa Black,Prada,prada-luna-rossa-black-m,200,M,woody,parfum,"Top: bergamot, anielica; Heart: paczula, kumarna; Base: drzewo ambry, piżmo",strong,special,"Luna Rossa Black to intensywna i zmysłowa interpretacja kultowej linii Prada Luna Rossa, stworzona dla mężczyzn poszukujących wyrazistości. Otwiera się świeżym bergamotem i aromatyczną anielicą, przechodząc w serce z paczulą i słodką kumarną. Głęboka baza z drzewem ambry i piżmem nadaje kompozycji elegancki i magnetyczny charakter. Idealny na wieczory i szczególne okazje, kiedy liczy się siła charakteru.",10,True,products/IMG-20260409-WA0089.jpg
Nomade,Chloé,chloe-nomade-k,200,K,woody,parfum,"Top: mirabelka, bergamotka, cytryna, pomarańcza; Heart: frezja, brzoskwinia, jaśmin, róża; Base: mech dębowy, paczula, drewno ambrowe, białe piżmo, drzewo sandałowe",strong,daily,"Nomade Chloé to drewniany zapach z kwiatowymi akcentami, który oddaje ducha przygody i kobiecej odwagi. Otwiera się soczyste nutami mirabelli i cytrusów, przechodząc w delikatne serce z frezji i brzoskwini. Intensywna baza z mchem dębowym i paczulą nadaje kompozycji ziemisty, pewny siebie charakter. Idealny dla pewnych siebie kobiet na co dzień.",10,True,products/IMG-20260409-WA0090.jpg
Bois Impérial,Essential Parfums,essential-parfums-bois-imperial-u,200,U,woody,edp,"Top: tajska bazylia, pieprz timut, pieprz różowy; Heart: róża, freezja; Base: wietiwerka, akigalawood, paczula, cedr",strong,daily,"Bois Impérial to uniseksowa kompozycja stworzona przez mistrza perfumiarstwa Quentina Bischa wokół niezwykłego drewna Akigalawood. Otwiera się aromatyczną tajską bazylią i korzennymi nutami pieprzu timut, przechodząc w kwiatowe serce z różą. Drzewna baza z wietiwerkii, paczuli i cedru tworzy kontrastową kompozycję między świeżością a głębią. Idealny na co dzień dla osób ceniących nowoczesną perfumerię niszową.",10,True,products/IMG-20260409-WA0091.jpg
Gentleman Society Ambrée,Givenchy,givenchy-gentleman-society-ambree-m,200,M,woody,parfum,"Top: gałka muszkatołowa, szałwia, jałowiec; Heart: irys, narcyz, sandałowiec, wetyweria; Base: tytoń, wanilia z Madagaskaru, balsam peruwiański",strong,special,"Gentleman Society Ambrée to luksusowa kreacja Givenchy, która łączy elegancję z nowoczesną męskością. Kompozycja otwiera się aromatyczną mieszanką gałki muszkatołowej i szałwii, przechodząc w kwiatowe serce z irysem i narcyzem. Głęboka baza z tytoniem, wanilią i balsamem nadaje zapachowi ciepły, zmysłowy charakter. Idealny na chłodniejsze dni i specjalne okazje.",10,True,products/IMG-20260409-WA0092.jpg
Flowerbomb,Viktor & Rolf,viktor-rolf-flowerbomb-k,200,K,floral,parfum,"Top: bergamot, zielona herbata; Heart: jasmin sambac, róża centifolia, frezja, orchidea; Base: piżmo, paczula, wanilia, ambra",strong,special,"Flowerbomb to kultowe kwiatowe perfumy Viktor & Rolf stworzone dla kobiet, które lubią być zauważane. Zapach otwiera się świeżymi nutami bergamoty i zielonej herbaty, przechodząc w serce pełne jaśminu sambac, róży centifolia i egzotycznej orchidei. Ciepła baza z wanilią, piżmem i ambra tworzy zmysłową, długotrwałą kompozycję. Idealne na wieczory i specjalne okazje, gdy chcesz pozostawić niezapomniane wrażenie.",10,True,products/IMG-20260409-WA0093.jpg
Alien Hypersense,Mugler,mugler-alien-hypersense-k,200,K,floral,parfum,"Top: gruszka, zielony mandaryn; Heart: jaśmin sambac, jaśmin indyjski; Base: cashmeran, piżmo, ambra, drewno",strong,daily,"Alien Hypersense to nowoczesna interpretacja kultowego Alien od Mugler, stworzona przez mistrza perfumiarstwa Dominique Ropion. Zapach otwiera się żywą nutą gruszki i zielonej mandarynki, przechodząc w hipnotyzujące serce z jaśminem sambac, charakterystycznym kwiatem linii Alien. Ciepła baza z cashmeran i piżmem nadaje kompozycji zmysłowy i długotrwały charakter. Idealny na co dzień dla kobiet poszukujących wyrazistego, ale przystępnego zapachu kwiatowego.",10,True,products/IMG-20260409-WA0094.jpg
Don,Xerjoff,xerjoff-don-u,250,U,oriental,parfum,"Top: tytoń, whiskey; Heart: proch, cukier przędny; Base: drewno cedrowe, wanilia",strong,special,"Don to nietypowa kompozycja z kolekcji Join the Club, inspirowana światem mafii i gangsterów. Otwiera się mocnym akordem tytoniu i whiskey, który przechodzi w serce z nietypową nutą prochu i cukru przędnego. Baza z drzewa cedrowego i wanilii nadaje kompozycji głębi i elegancji. To zapach dla odważnych, idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0095.jpg
Good Girl,Carolina Herrera,carolina-herrera-good-girl-k,200,K,floral,parfum,"Top: migdał, kawa, bergamota, cytryna; Heart: tuberoza, jaśmin sambac, kwiat pomarańczy, róża bułgarska, irys; Base: fasola tonka, kakao, wanilia, pralina, drzewo sandałowe, piżmo, ambra, kaszmir, cynamon, paczula, cedr",strong,special,"Good Girl Carolina Herrera to zmysłowy kwiatowo-ambrowaty zapach stworzony dla kobiet poszukujących intensywnej i kontrastowej kompozycji. Otwiera się soczystymi nutami migdała i kawy, przechodząc w eleganckie serce z tuberozą i jaśminem. Głęboka baza fasoli tonka i kakao nadaje kompozycji ciepły, uzależniający charakter. Zapach idealny na wieczorne wyjścia i wyjątkowe okazje.",10,True,products/IMG-20260409-WA0096.jpg
N°5,Chanel,chanel-n5-k,200,K,floral,parfum,"Top: aldehydy, bergamota, neroli, ylang-ylang, brzoskwinia; Heart: jaśmin, róża, irys, konwalia; Base: drzewo sandałowe, wanilia, piżmo, wetywer, paczula",strong,special,"Chanel N°5 to legendarny zapach stworzony w 1921 roku przez Ernesta Beauxa dla Coco Chanel. Ta ikoniczna kompozycja otwiera się charakterystycznymi aldehydami, które nadają jej wyjątkową świeżość i blask. W sercu kwitnie bogaty bukiet kwiatowy z jaśminem i różą, podczas gdy baza z wanilią i piżmem zapewnia trwałość i zmysłowy charakter. To ponadczasowy zapach, który symbolizuje elegancję i kobiecość.",10,True,products/IMG-20260409-WA0097.jpg
Very Good Girl,Carolina Herrera,carolina-herrera-very-good-girl-k-1,200,K,floral,edp,"Top: czerwona porzeczka, liczi; Heart: róża; Base: wanilia, wetyweria",strong,special,"Zabawna, bajeczna i nieustraszona kompozycja skierowana do odważnych kobiet. Owocowo-kwiatowy zapach o uwodzicielskim różanym sercu idealny na wieczorne wyjścia i specjalne okazje. Połączenie słodkiej wanilii z aromatyczną wetywerią zapewnia nowoczesne, długotrwałe wykończenie.",10,True,products/IMG-20260409-WA0000.jpg
Phantom,Paco Rabanne,paco-rabanne-phantom-m,200,M,woody,edt,"Top: lawenda, skórka cytryny, cytryna Amalfi; Heart: lawenda, jabłko, nuty ziemiste, paczula, dym; Base: lawenda, wanilia, wetyweria",strong,special,"Futurystyczny aromat stworzony dla pewnych siebie mężczyzn, którzy lubią błyszczeć. Phantom łączy odważną kompozycję kremowej lawendy, energetyzujących cytrusów i seksownej wanilii z drzewną wetyweria. To zapach na specjalne okazje, który podkreśla męskość i daje poczucie siły oraz seksapilu.",10,True,products/IMG-20260409-WA0001.jpg
Lady Million,Paco Rabanne,paco-rabanne-lady-million-k,200,K,floral,edp,"Top: malina, neroli, cytryna Amalfi; Heart: jaśmin, kwiat pomarańczy, gardenia; Base: biały miód, paczula, ambra",strong,special,"Lady Million to luksusowa, kwiatowo-owocowa kompozycja dla odważnych kobiet ceniących elegancję i zmysłowość. Zapach emanuje bogactwem i kobiecą siłą, idealny na specjalne okazje i wieczorne wyjścia. Ta intensywna woda perfumowana otula swoją właścicielkę aurą luksusu i pozostawia niezapomniany ślad.",10,True,products/IMG-20260409-WA0099.jpg
Louis xv de venoge,Xerjoff,xerjoff-louis-xv-de-venoge-u,250,U,oriental,parfum,"Top: szampan, grejpfrut, śliwka, szafran; Heart: lawenda, orzech laskowy, kawa, róża, kakao; Base: drzewo sandałowe, białe piżmo, kaszmirowe drewno, skóra, kadzidło",strong,special,"Luksusowa kompozycja inspirowana dworem Ludwika XV i szampanem Maison de Venoge. Orientalno-drzewny zapach otwiera się metalicznymi nutami przypominającymi szampan, następnie ujawnia ciepłe, uwodzicielskie nuanse kawy i kakao. Dedykowany dla wymagających osób ceniących elegancję i wyjątkowe okazje.",10,True,products/IMG-20260409-WA0100.jpg
Sì Passione,Giorgio Armani,giorgio-armani-si-passione-k,200,K,floral,edp,"Top: czarna porzeczka, gruszka, różowy pieprz; Heart: róża, jaśmin, heliotrop; Base: wanilia, cedr, paczuli",strong,special,"Sì Passione to zmysłowy i intensywny zapach dla pewnych siebie kobiet, które nie boją się wyrażać swojej pasji. Kompozycja otwiera się soczystymi nutami gruszki i czarnej porzeczki z pikantnym różowym pieprzem, przechodząc w romantyczne serce z róży i jaśminu. Ciepła baza wanilii i cedru nadaje zapachowi trwałość i elegancję, czyniąc go idealnym na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0101.jpg
Alien Goddess,Mugler,mugler-alien-goddess-k,200,K,oriental,edp,"Top: woda kokosowa, bergamotka; Heart: jaśmin, heliotrop; Base: wanilia bourbon, drewno kaszmirowe",light,daily,"Alien Goddess to zapach marki Thierry Mugler z 2021 roku, który dodaje blasku i energii promieni słonecznych oraz wspiera kobiety w ich życiowych historiach. To idealny kompan dla pewnej siebie kobiety, która z radością czerpie z życia pełnymi garściami i pragnie podkreślić swoją siłę, elegancję oraz naturalny blask. Zapach charakteryzuje się słabszą trwałością - po godzinie projekcja osłabia się, a na skórze utrzymuje się krótko. Kompozycja emanuje energią, siłą i elegancją, jednocześnie pozostając lekka i subtelna, idealna dla kobiet na co dzień oraz na wyjątkowe okazje.",10,True,products/IMG-20260409-WA0102.jpg
P.33 Blank Page Edition,Xerjoff,xerjoff-p33-blank-page-edition-u,250,U,woody,parfum,"Top: grejpfrut, jabłko, bergamotka; Heart: cyprys, irys, cynamon; Base: piżmo, cedr, ambra",strong,special,"Elegancki drzewno-aromatyczny zapach stworzony na podstawie osobistych szkiców Sergio Momo ze strony 33 jego szkicownika. Łączy świeżą otwierającą kombinację cytrusów i owoców z wyrafinowanym sercem pełnym cyprysów i irysa. Idealny na specjalne okazje, emanuje nowoczesną i ponadczasową sofistykacją, nadając się zarówno dla kobiet, jak i mężczyzn ceniących luksus i artystyczną innowację.",10,True,products/IMG-20260409-WA0104.jpg
Alien Extraintense,Mugler,mugler-alien-extraintense-k,200,K,floral,edp,"Top: petitgrain; Heart: jaśmin wielkokwiatowy, tuberoza; Base: kaszmeran, wanilia, drzewo bursztynowe",strong,special,"Damska woda perfumowana Mugler Alien Extraintense to niezwykle uzależniająca, kobieca kompozycja o kwiatowo-drzewnym zapachu. Wyrazisty jaśmin wprowadza świetlistą, niemal eteryczną aurę, która w połączeniu z bogatą tuberozą tworzy intensywnie zmysłowy duet. Ich głębia zostaje dodatkowo ocieplona kremową słodyczą wanilii, a całość spowija szlachetny kaszmir – drzewny, lekko dymny i kojący. To zapach dla kobiet, które nie boją się przyciągać spojrzeń – odważny, otulający i niezwykle trwały, idealny na wieczory i chłodniejsze dni.",10,True,products/IMG-20260409-WA0105.jpg
Poeme,Lancôme,lancome-poeme-k,200,K,oriental,edp,"Top: czarna porzeczka, brzoskwinia, mandarynka, bergamotka, himalajski mak; Heart: jaśmin, tuberoza, frezja, mimoza, kwiat pomarańczy, róża; Base: wanilia, bób tonka, ambra, piżmo, cedr",strong,special,"Lancôme Poême to intensywny, kwiatowo-orientalny zapach pełen kontrastów między światłem i cieniem. Kompozycja opiera się na akorcie białych i żółtych kwiatów, szczególnie mimozy, narcyza i tuberozy, osadzonych na waniliowo-pudrowej bazie. To bardzo kobieca, klasyczna elegancja o wysokiej trwałości, idealna na wieczorne wyjścia i chłodniejsze pory roku dla kobiet ceniących wyraziste, bogate kompozycje kwiatowe.",10,True,products/IMG-20260409-WA0106.jpg
Stronger With You Parfum,Emporio Armani,emporio-armani-stronger-with-you-parfum-m,200,M,oriental,parfum,"Top: różowy pieprz, mandarynka; Heart: lawenda, szałwia, cynamon; Base: kasztan, wanilia, skóra",strong,special,"Dojrzała i wyrafinowana interpretacja kultowej linii Stronger With You. Intensywny zapach o charakterze pikantno-słodkim, który otwiera się żywym różowym pieprzem i cytrusową mandarynką, by przejść w aromatyczną mieszankę lawendy i szałwii z nutą cynamonu. Bogata baza z wanilią, kasztanem i skórą tworzy zmysłowy, otulający aromat idealny na chłodniejsze miesiące. Skierowany do pewnych siebie mężczyzn, którzy cenią elegancję i głębię w zapachu.",10,True,products/IMG-20260409-WA0108.jpg
La vie est belle,Lancôme,lancome-la-vie-est-belle-k,200,K,floral,edp,"Top: czarna porzeczka, gruszka; Heart: irys, jaśmin, kwiat pomarańczy; Base: wanilia, pralinki, paczula, fasolka tonka",strong,daily,"Kwiatowo-owocowy zapach gourmand o słodkim, kobiecym charakterze. Idealny dla współczesnej kobiety, która wybiera szczęście i chce otulać się elegancją każdego dnia. Trwały i wyrazisty zapach doskonały zarówno na co dzień, jak i na specjalne okazje.",10,True,products/IMG-20260409-WA0110.jpg
Acqua di Giò Profumo,Giorgio Armani,giorgio-armani-acqua-di-gio-profumo-m,316,M,woody,edp,"Top: bergamotka, nuty morskie; Heart: rozmaryn, szałwia, geranium; Base: kadzidło, paczuli",strong,special,"Wyszukany męski zapach łączący morskie akordy z drzewnymi nutami. Intensywny i zmysłowy, idealny dla pewnych siebie mężczyzn. Zapach doskonały na wieczorne wyjścia i specjalne okazje, gdy chcesz zrobić niezapomniane wrażenie. Harmonijnie łączy świeżość z głębią i elegancją.",10,True,products/IMG-20260409-WA0112.jpg
Euphoria,Calvin Klein,calvin-klein-euphoria-k,200,K,oriental,edp,"Top: granat, hurma, nuty zielone; Heart: czarna orchidea, lotos, magnolia champaca; Base: ambra, fiołek, mahoń",strong,special,"Orientalno-kwiatowy zapach dla pewnych siebie i eleganckich kobiet. Kompozycja przenosi w egzotyczny świat zmysłowych aromatów, łącząc soczysty granat z intensywną czarną orchideą i ciepłą ambrą. Idealny na wieczorne wyjścia, romantyczne kolacje i specjalne okazje, podkreślający kobiecość i tajemniczą aurę.",10,True,products/IMG-20260409-WA0114.jpg
Libre Vanille Couture,Yves Saint Laurent,yves-saint-laurent-libre-vanille-couture-k,200,K,oriental,edp,"Top: lawenda francuska, kwiat pomarańczy; Heart: waniliowy kawior z Madagaskaru; Base: absolut rumu, wanilia bourbon",strong,special,"Zmysłowa i odważna reinterpretacja kultowego Libre, utopiona w złocie od butelki po zapach. Luksusowa kompozycja z francuską lawendą i marokańskim kwiatem pomarańczy, owiniętymi w bogaty waniliowy kawior z Madagaskaru i pikantny absolut rumu. Dedykowana pewnej siebie kobiecie, która definiuje swoje własne zasady i żyje swoją wolnością. Idealna na romantyczne wieczory, luksusowe kolacje i wyjątkowe okazje zimą.",10,True,products/IMG-20260409-WA0115.jpg
Lost Cherry,Tom Ford,tom-ford-lost-cherry-u,200,U,oriental,edp,"Top: czarna wiśnia, likier wiśniowy, gorzkie migdały; Heart: syrop z czereśni griotte, róża turecka, jaśmin sambac; Base: balsam peruwiański, prażona tonka, drzewo sandałowe, wetyweria, cedr",strong,special,"Lost Cherry to pełne zapachu podróż w głąb zakazanego, kontrastujący zapach, który ujawnia kuszącą dychotomię między radosnym, cukierkowym blaskiem na zewnątrz a soczystym miąższem w środku. Niewinność przecina się z rozkoszą poprzez początek, który oddaje klasyczną perfekcję egzotycznego owocu wiśni - dojrzały miąższ czarnej wiśni skąpany w likierze wiśniowym lśni z drażniącym dotknięciem gorzkiego migdału. Serce wybucha w wiśniowe fale słodkości i cierpkości. To bardzo dobry zapach unisex, odpowiedni na wiele okazji i dla każdej płci, idealny na specjalne wydarzenia i wieczorne wyjścia.",10,True,products/IMG-20260409-WA0117.jpg
Delina,Parfums de Marly,parfums-de-marly-delina-k,200,K,floral,edp,"Top: liczi, rabarbar, bergamota; Heart: róża damasceńska, piwonia, konwalia; Base: wanilia, piżmo, wetyweria",strong,special,"Delina to kwiatowy bukiet, hołd dla kobiecej zmysłowości i elegancji. Zapach został zbudowany wokół akordu kwiatowego zdominowanego przez turecką różę damasceńską, wzbogaconą nutami liczi i wanilii. To ikoniczny i uzależniający aromat skierowany do kobiet, które cenią romantyczną kobiecość i wyrafinowanie. Idealny na wieczorne wyjścia i szczególne okazje.",10,True,products/IMG-20260409-WA0118.jpg
Eros Najim,Versace,versace-eros-najim-m,200,M,oriental,parfum,"Top: karmel, mandarynka włoska; Heart: kardamon, oud; Base: kadzidło, paczula, wetyweria",strong,special,"Eros Najim to orientalno-drzewny zapach dla mężczyzn wprowadzony w 2024 roku jako ekskluzywna wersja dla Bliskiego Wschodu. Kompozycja ewokuje ciepłe, złociste światło pustyni z mistycznymi akcentami kadzidła i luksusowego oudu. Skierowany do mężczyzn poszukujących wyszukanego, mocnego zapachu na wyjątkowe okazje. Najim oznacza 'gwiazdę' w języku arabskim, co odzwierciedla promienny charakter tej kompozycji.",10,True,products/IMG-20260409-WA0119.jpg
Platinum Egoiste,Chanel,chanel-platinum-egoiste-m,200,M,woody,edt,"Top: lawenda, rozmaryn, neroli, petitgrain; Heart: galbanum, szałwia muszkatołowa, jaśmin, geranium; Base: mech dębowy, wetyweria, cedr, drzewo sandałowe, ambra",strong,special,"Elegancki i męski zapach dla nowoczesnego mężczyzny, który ceni sobie klasę i wyrafinowanie. Kompozycja łączy świeżość ziołowych nut z ciepłem drzewnych akordów, tworząc charakterystyczny aromat o metalicznej nucie. Idealne perfumy na formalne spotkania biznesowe, wieczorne wydarzenia i specjalne okazje, gdzie liczy się elegancja i pewność siebie. Zapach pozostawia niezapomnianą woń, która podkreśla męską siłę i charakter.",10,True,products/IMG-20260409-WA0120.jpg
Bleu,Chanel,chanel-bleu-m,200,M,woody,edp,"Top: grejpfrut, cytryna, mięta, bergamotka, różowy pieprz; Heart: imbir, gałka muszkatołowa, jaśmin, melon; Base: kadzidło, ambra, cedr, drzewo sandałowe, paczula, ladanum",strong,daily,"Drzewno-aromatyczny zapach dla mężczyzn, który łączy orzeźwiający wybuch cytrusów z ciepłymi drzewnymi nutami. To uniwersalny zapach charakteryzujący się elegancją i siłą, idealny na co dzień dla współczesnego mężczyzny. Kompozycja ewoluuje od świeżego otwarcia przez korzenne serce po ciepłą, drzewną bazę.",10,True,products/IMG-20260409-WA0122.jpg
Guilty,Gucci,gucci-guilty-k,200,K,oriental,edp,"Top: mandarynka, różowy pieprz, bergamotka; Heart: bez, róża, fiołek, geranium; Base: paczula, bursztyn, białe piżmo",strong,special,"Orientalno-kwiatowa kompozycja o zmysłowym i uwodzicielskim charakterze, przeznaczona dla pewnych siebie kobiet, które cenią wolność i niezależność. Intensywny zapach idealny na wieczorne wyjścia i specjalne okazje, łączy kwiatową delikatność z głębokimi orientalnymi nutami. Długotrwały zapach emanuje elegancją i wyrazistą kobiecością, pozostawiając niezapomniane wrażenie.",10,True,products/IMG-20260409-WA0124.jpg
The Scent Parfum,BOSS,boss-the-scent-parfum-m,200,M,woody,parfum,"Top: maninka, imbir; Heart: irys; Base: skóra, nuty drzewne",strong,special,"Intensywny i zmysłowy zapach, który uchwycił alchemię pociągu między władczą parą. Ciepła maninka gra przeciwko uzależniającemu irysowi, podczas gdy zmysłowe nuty skórzane uziemiają zapach w sugestywnym uścisku. Idealny na wieczorne spotkania i szczególne okazje dla współczesnego, pewnego siebie mężczyzny.",10,True,products/IMG-20260409-WA0126.jpg
Blooming Bouquet,Dior,dior-blooming-bouquet-k,200,K,floral,edt,"Top: bergamotka, groszek pachnący; Heart: piwonia, róża damasceńska; Base: białe piżmo",light,daily,"Świeży i delikatny zapach skomponowany niczym bukiet nowo rozkwitniętych kwiatów. Emanuje lekkością i wiosenną radością, tworząc harmonijną kompozycję pełną świeżości i romantyzmu. Idealne perfumy dla kobiet ceniących subtelność i elegancję na co dzień. Zapach sprawdzi się doskonale w cieplejsze dni jako wyraz kobiecej delikatności i optymizmu.",10,True,products/IMG-20260409-WA0128.jpg
